products_model,categories_name,products_name,slug,image,products_description,,
A-85,M,Mamas on a Lion,Mamas-on-a-Lion,A-85_St_Mamas.png,"<b>Saint Mamas on a Lion</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/September/Sept-2/st-mamas.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-86,M,Marcella of Chios,Marcella-of-Chios,A-86-Icon-St-Marcella.png,"<b>Saint Marcella of Chios</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/July/Jul-22/st-marcella-of-chios.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-423,Menaion,March,March,A423_March_Menaion_Icon.png,"<p>The <i>March</i> icon belongs to the Menaion set. Each of the icons in the Menaion set when purchased individually are sold for the standard price of an 11 x 14 enlargement. The entire set of Great Feast icons when purchased as a set comes with a discount. See <a href=""https://www.bostonmonks.com/product_info.php/cPath/27_33/products_id/354"">here</a> for the full set.</p>
<p>The 8 x 10 mounted icons are the standard size. All enlargements besides
the 11 x 14 size and reductions listed in the drop-down list are
special orders and require up to four weeks to complete.</p>",,
A-193,M,Marina,Marina,A-193-Icon-St-Marina.png,"<b>Saint Marina</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/July/Jul-17/St-Marina.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-240,M,Mark of Ephesus,Mark-of-Ephesus,A-240_Icon_St_Mark_Ephesus_(Japanese).png,"<b>Saint Mark of Ephesus</b><br />
<i>English and Japanese inscriptions</i><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/January/Jan-19/st-mark-of-ephesus.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-452,M,Mark of Ephesus,Mark-of-Ephesus-Lepoura,A452_St_Mark_of_Ephesus.png,"<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>This icon replaces a lithographed print [D-038].</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/January/Jan-19/st-mark-of-ephesus.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-87,M,Mark the Evangelist,Mark-the-Evangelist,A-87_Icon_St_Mark_Evangelist.png,"<b>Saint Mark the Evangelist</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/April/Apr-25/St-Mark-the-Evangelist.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-456,M,Mark the Evangelist - by Kontoglou,Mark-the-Evangelist-by-Kontoglou,A456_St_Mark_Evangelist.png,"<b>Saint Mark the Evangelist</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/April/Apr-25/St-Mark-the-Evangelist.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-260,M,"Martha, Mary, & Lazarus",Martha-Mary-and-Lazarus,A-260-Icon-SS-Mary-Martha.png,"<b>Saints Martha Mary and Lazarus</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/June/Jun-4/ss-mary-and-martha.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-194,M,Martin of Tours,Martin-of-Tours,A-194_St_Martin.png,"<b>Saint Martin of Tours</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-12/st-martin-of-tours.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
B-62,Other,Martyrdom and Miracles of Saint Phanurius,st-phanurius-book,B-62-St-Phanurius-2.jpg,<i>Translated from the Greek by the Holy Transfiguration Monastery. 2022.,,
A-142,Christ,Mary and Martha,mary-and-martha,Mary-and-Martha,A-142_Icon_Christ_with_Mary_and_Martha.png,Christ with Mary and Martha. SS Mary and Martha are the small figures falling down at the feet of Christ.<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>,
A-88,M,Mary Magdalene,Mary-Magdalene,A-88-Icon-St-Mary-Magdalene.png,"<b>Saint Mary Magdalene</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/July/Jul-22/St-Mary-Madgalene.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-196,M,Mary of Egypt,Mary-of-Egypt,A-196-Icon-St-Mary-Egypt.png,"<b>Saint Mary of Egypt</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Feasts-and-Saints-of-the-Day/Triodion/st-mary-of-egypt-sunday.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-89,M,Matthew the Evangelist,Matthew-the-Evangelist,A-89_St_Matthew.png A-89-A-76-A-87-A-82_Four-Evangelists-Set.png,"<b>Saint Matthew the Evangelist</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>This icon is part of the four evangelists set with <a href=""product_info.php/products_id/333"">St. Mark</a> <a href=""product_info.php/products_id/320"">St. Luke</a> and <a href=""product_info.php/products_id/299"">St. John</a> (each icon sold separately).</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-16/Evangelist-Matthew.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
D-93,M,Matthew the Evangelist lithographed print (wallet sized),Matthew-the-Evangelist-wallet-sized,A-89_St_Matthew.png,"<b>Saint Matthew the Evangelist lithographed print (wallet size)</b><br />
2-&frac12; x 3-&frac34; inches<br />
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-16/Evangelist-Matthew.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-90,M,Maximus the Confessor,Maximus-the-Confessor,A-90-Icon-St-Maximus-Confessor.png,"<b>Saint Maximus the Confessor</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/January/Jan-21/St-Maximus-Confessor.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-425,Menaion,May,May,A425_May_Menaion_Icon.png,"<p>The <i>May</i> icon belongs to the Menaion set. Each of the icons in the Menaion set when purchased individually are sold for the standard price of an 11 x 14 enlargement. The entire set of Great Feast icons when purchased as a set comes with a discount. See <a href=""https://www.bostonmonks.com/product_info.php/cPath/27_33/products_id/354"">here</a> for the full set.</p>
<p>The 8 x 10 mounted icons are the standard size. All enlargements besides
the 11 x 14 size and reductions listed in the drop-down list are
special orders and require up to four weeks to complete.</p>",,
A-303,M,Melania of Rome,Melania-of-Rome,A-303-Icon-St-Melania.png,"<b>Saint Melania of Rome</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/December/Dec-31/St-Melania-the-Younger.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-378,M,Melchizedek,Melchizedek,A-378_Icon_Melchizedec.png,<b>Saint Melchizedek</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>,,
B-45,Monastery,"Menaion (12 Volume Set, in English) Cloth bound",Menaion-set-books,b045.jpg,"<b>The Complete Menaion</b><br />
<em>Translated from the Greek by the Holy Transfiguration Monastery. 2005.<br />
Hardcover binding. 12 volumes 2-color printing.</em>
<p />
Providing the Services for the Feasts of Our
Lord Jesus Christ the Most Holy Theotokos
and Saints for every day of the year.
<br />
<ul>
<li>Set to the meter of the original Byzantine melodies
<li>Large format for church use: 10"" x 14"" page size
<li>Hardcover sewn binding
<li>A full-color icon of the Feasts and Saints celebrated that month makes the frontispiece of each volume
<li>Printed in black and red throughout on Mohawk Vellum a paper of archival
durability and the highest quality
</ul>
<p />
<a href=""pdfs/b045.pdf""> <img src=""pdfs/pdf.gif""> Download pdf file</a>
<p />
Please note that the Menaion is sold as a complete set only. No individual volumes are available. Individual volumes
found to be of defective manufacture
will be replaced without charge.
<p />
 <b>All sales final.</b>
<p />",,
G-22,Menaion,Menaion Icon � Feasts and Saints of the Whole Year,Menaion-Icon-Whole-Year,G022_Menaion_Whole_Year_Icon.png,"<b>18 &frac58; x 24 inches</b><br />
The outer twelve panels of this icon show each of the twelve months with the principal Feasts and Saints of each month and the inner thirteen panels show the Great Feasts of the liturgical year with the Resurrection (Descent into Hades) at center.",,
A-420,Menaion,Menaion Icon Set of 12,Menaion-Icon-Set-of-12,NULL,This is a set of all 12 of the Menaion icons. Each icon in the set displays saints for the calendar month named. The price is less than if all the icons had been purchased separately, and in addition they can be shipped quickly since it is likely the entire set will be in stock.<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>,
A-92,M,Menas,Menas,A-92_St_Menas.png,"<b>Saint Menas</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-11/St-Menas.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
D-39,M,Menas lithographed print (wallet size),Menas-wallet-size,A-92_St_Menas.png,"<b>Saint Menas lithographed print</b><br />
2-<sup>1</sup>&#8260;<sub>4</sub> x 3-<sup>3</sup>&#8260;<sub>8</sub> inches<br />
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-11/St-Menas.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-91,M,Menas on a horse,Menas-on-a-horse,A-91_Icon_St_Menas_on_Horse.png,"<b>Saint Menas on a horse</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-11/St-Menas.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-338,Christ,"Merciful, by Kontoglou",Merciful-by-Kontoglou,A-338_Icon_Christ_Merciful_by_Kontoglou.png A-339-A-338_Christ-and-Theotokos-Set.png,"Christ the Merciful by Photius Kontoglou<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>This icon together with <a href=""product_info.php/products_id/60"">The Directress</a> (sold separately) make a matching set.</p>",,
A-93,M,Michael,Michael,A-93_Archangel_Michael.png A-93-A-56_Archangels-Michael-and-Gabriel-Set.png,"<b>Archangel Michael</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>This icon together with <a href=""product_info.php/products_id/916"">Archangel Gabriel</a> (sold separately) make a matching set.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/September/Sept-6/miracle-st-michael-colossae.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
D-83,M,Michael & Gabriel lithographed print,Michael-and-Gabriel-lithographed-print,A-350_Icon_Archangels_Michael_Gabriel.png,"<b>Archangels Michael and Gabriel lithographed print</b> 
<br />
4-<sup>1</sup>&frasl;<sub>8</sub> x 5-<sup>1</sup>&frasl;<sub>2</sub> inches<br />
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-8/Synaxis-Archangels.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-94,M,Michael of the Apocalypse,Michael-of-the-Apocalypse,A-94_Icon_Archangel_Michael_Apocalypse.png,"<b>Archangel Michael of the Apocalpyse</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/September/Sept-6/miracle-st-michael-colossae.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
D-85,M,Michael of the Apocalypse lithographed print (wallet size),Michael-of-the-Apocalypse-wallet-size,Michael_of_the_Apocalypse.jpg,"<b>Archangel Michael of the Apocalypse lithographed print</b>
<br />
2-&frac14; x 3 inches<br />
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-8/Synaxis-Archangels.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-433,M,Michael the Archangel Bust,Michael-the-Archangel-Bust,a433.jpg,"<b>Archangel Michael Bust</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-8/Synaxis-Archangels.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-13,Mother of God,More Spacious than the Heavens (Platytera),Platytera,A-13_Icon_Theotokos_Platytera.png,Mother of God More Spacious than the Heavens (Platytera)-by Kontoglou<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>,,
M-50,Pectoral Crosses (for Priests),Moscow Cross,Moscow-Cross,m050.jpg,"<b>Moscow Cross</b><br />
2-&frac14; x 4 inches",,
A-335,M,Moses,Moses,A-335-Icon-Moses-at-Burning-Bush.png,"<b>Holy Prophet Moses</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/September/Sept-4/ss-moses-aaron.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-401,M,Moses & Aaron,Moses-and-Aaron,A-401_Moses_Aaron.png,"<b>Prophets Moses &amp; Aaron</b><br />
<i>The Tabernacle of Witness</i><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/September/Sept-4/ss-moses-aaron.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-361,M,Moses of Optina,Moses-of-Optina,A-361-Icon-St-Moses-of-Optina.png,"<b>Saint Moses of Optina</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/June/Jun-16/St-Moses-of-Optina.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
B-30,Monastery,"Moses of Optina, The Elder",Moses-of-Optina-The-Elder,b030.jpg,"<b>The Elder Moses of Optina Paper bound</b>
<br />
<em>Translated from the Russian by the Holy Nativity Convent. 1996.<br />
Sewn paperback. 396 pages.</em>
<p />
This biography is of the Elder Moses of Optina (1782-1862) who founded the Skete of Saint John the Forerunner and established at Optina the eldership for which it became renowned. Although appearing to be a pious but unremarkable monk he was adorned with the highest gifts of the Holy Spirit. Includes many illustrations two maps a service to the Elder Moses glossary and index.",,
A-184,M,Moses the Ethiopian,Moses-the-Ethiopian,A-184-Icon-St-Moses-the-Ethiopian.png,"<b>Saint Moses the Ethiopian</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/August/Aug-28/St-Moses-the-Ethiopian.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
M-653,Medals,Mother of God of the Sign,Mother-of-God-of-the-Sign,m653.jpg,"<b>Mother of God of the Sign<br />
&frac34; x &frac34; inch</b>",,
L-26,III (Best Incense),Mount Horeb,Mount-Horeb,L026-MountHoreb.jpg,<p>A rich non-floral combination of spices imported from Arabia.</p>,,
A-368,Mother of God,Multiplier of Wheat,Multiplier-of-Wheat,A-368_Icon_Theotokos_Multiplier_of_Wheat.png,<b>Mother of God Multiplier of Wheat</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>,,
L-29,III (Best Incense),Myra,Myra,L029-Myra.jpg,A sweet and honey-like fragrance named in honor of St Nicholas the Wonderworker.,,
A-172,Great Feast,Myrrh-bearers at the Tomb,Myrrh-bearers-at-the-Tomb,A-172-Icon-Myrrh-bearers.png,"The <i>Myrrh-bearers</i> icon belongs to the Great Feast set. Each of the icons in the Great Feast set when purchased individually are sold for the standard price of an 11 x 14 enlargement.  The entire set of Great Feast icons when purchased as a set comes with a discount.  <a href=""http://www.bostonmonks.com/product_info.php/products_id/898"">See here</a> for 11 x 14 <a href=""http://www.bostonmonks.com/product_info.php/products_id/145"">see here</a> for 8 x 10.
<p>The 8 x 10 mounted icons are the standard size. All enlargements besides
the 11 x 14 size and reductions listed in the drop-down list are
special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Feasts-and-Saints-of-the-Day/Pentecostarion/Sunday-of-Pascha.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-305,M,Myrrh-bearing Women,Myrrh-bearing-Women,A-305-Icon-Myrrh-bearers.png,"<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Feasts-and-Saints-of-the-Day/Pentecostarion/myrrh-bearers.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-14,Mother of God,Myrtle Tree,Myrtle-Tree,A-14_Icon_Theotokos_Myrtle_Tree.png,Mother of God of the Myrtle Tree<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>,,
A-183,Christ,"Mystical Supper, by Kontoglou",Mystical-Supper-by-kontoglou,A-183-Icon-Mystical-Supper.png,"<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Feasts-and-Saints-of-the-Day/Triodion/holy-thursday.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-258,N,Natalia,Natalia,A-258-Icon-St-Natalie.png,"<b>Saint Natalia</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/August/Aug-26/ss-adrian-and-natalie.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-203,N,Nathaniel,Nathaniel,A-203_Icon_St_Nathaniel.png,<b>Saint Nathaniel</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>,,
A-164,Great Feast,Nativity of our Saviour,Nativity-of-our-Saviour,A-164-Icon-Nativity-of-Christ.png,"The <i>Nativity of Our Saviour</i> icon belongs to the Great Feast set. Each of the icons in the Great Feast set when purchased individually are sold for the standard price of an 11 x 14 enlargement.  The entire set of Great Feast icons when purchased as a set comes with a discount.  <a href=""http://www.bostonmonks.com/product_info.php/products_id/898"">See here</a> for 11 x 14 <a href=""http://www.bostonmonks.com/product_info.php/products_id/145"">see here</a> for 8 x 10.
<p>The 8 x 10 mounted icons are the standard size. All enlargements besides
the 11 x 14 size and reductions listed in the drop-down list are
special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/December/Dec-25/Nativity-of-Christ.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-337,Christ,Nativity of our Saviour,A-337-Nativity-of-our-Saviour,A-337_Icon_Nativity_(Christmas).png,"<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/December/Dec-25/Nativity-of-Christ.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
D-74,Christ,Nativity of our Saviour lithographed print,Nativity-of-our-Saviour-lithographed-print,Nativity_of_our_Saviour.jpg,"4 x 5-&frac34;
<p>
<em>We regret that the plain print version of this icon is not available.</em><br/>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/December/Dec-25/Nativity-of-Christ.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
D-41,Christ,"Nativity of our Saviour lithographed print, detail",Nativity-of-our-Saviour-detail,D041.jpg,"3-&frac12; x 4-&frac34; inches<br/>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/December/Dec-25/Nativity-of-Christ.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
L-39,III (Best Incense),Nazareth,Nazareth,L039-Nazareth.jpg,<p>Non-floral a unique compound of fragrances that is less sweet than Jerusalem. An old favorite for many years.</p>,,
A-336,N,Nectarius (Full Stature),Nectarius-Full-Stature,A-336_Icon_St_Nectarius.png,"<b>Saint Nectarius </b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-9/St-Nectarius.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-95,N,Nectarius,Nectarius,A-95_St_Nectarius.png,"<b>Saint Nectarius</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-9/St-Nectarius.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-451,N,Nectarius in Vestments,Nectarius-in-Vestments,A451_St_Nectarius_in_Vestments.png,"<b>Saint Nectarius in Vestments</b>
<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>This icon replaces St. Nectarius in Vestments Lithographed print [D-043].</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-9/St-Nectarius.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
D-42,N,Nectarius lithographed print (wallet size),Nectarius-wallet-size,A-95_St_Nectarius.png,"<b>Saint Nectarius lithographed print </b><br />
2-<sup>1</sup>&#8260;<sub>4</sub> x 3-<sup>3</sup>&#8260;<sub>8</sub> inches<br />
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-9/St-Nectarius.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-356,N,Neophytus,Neophytus,A-356-Icon-St-Neophytus.png,"<b>Saint Neophytus</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/January/Jan-24/St-Neophytus-of-Cyprus.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
L-16,II (Better Incense),Neroli,Neroli,L016-Neroli.jpg,This incense is made from essential oils distilled from orange blossoms. A delicate and sweet fragrance.,,
A-218,N,Nicetas,Nicetas,A-218-St-Nicetas-of-Nisyros.png,"<b>Saint Nicetas</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/June/Jun-21/St-Nicetas-of-Nisyros.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-97,N,Nicholas,Nicholas,A-97_Icon_St_Nicholas.png,"<b>Saint Nicholas</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/December/Dec-6/St-Nicholas.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
R-20,N,Nicholas 4 x 6 special edition,Nicholas-4-x-6,Nicholas.jpg,"<b>Saint Nicholas special edition</b><br />
4 x 6 inches<br />
<ul>
 <li>mounted on wood</li>
 <li>not available unmounted</li>
 <li>one size only</li>
 <li>see <a href=""http://www.bostonmonks.com/product_info.php/products_id/370"">A-097</a> for other styles and sizes</li>
</ul>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/December/Dec-6/St-Nicholas.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-190,N,Nicholas�by Kontoglou,Nicholas-by-Kontoglou,A-190_St_Nicholas.png,"<b>Saint Nicholas-byKontoglou</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/December/Dec-6/St-Nicholas.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-370,N,Nicholas�full stature,Nicholas-full-stature,A-370_Icon_St_Nicholas.png,"<b>Saint Nicholas&mdash;full stature</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/December/Dec-6/St-Nicholas.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
M-52,Pectoral Crosses (for Priests),Nicholas II Pectoral Cross,Nicholas-II-Pectoral-Cross,m052.jpg,"<b>Nicholas II  Pectoral Cross</b><br />
2-<sup>3</sup>&frasl;<sub>8</sub> x 4-<sup>1</sup>&frasl;<sub>8</sub> inches",,
D-45,N,Nicholas lithographed print (wallet size),Nicholas-wallet-size,D045.jpg,"<b>Saint Nicholas lithographed print</b><br />
2-<sup>1</sup>&#8260;<sub>8</sub> x 3-<sup>1</sup>&#8260;<sub>4</sub> inches<br />
<p>See <a href=""http://tyoos.org/Lives-of-Saints/December/Dec-6/St-Nicholas.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-365,N,Nicholas Planas,Nicholas-Planas,A-365-Icon-Papa-Nicholas-Planas.png,"<b>Saint Nicholas Planas</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/February/Feb-17/St-Papa-Nicholas-Planas.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
